Artist,Song,Text
Justin Bieber,All Bad,"[Verse:]  
It's another, if it ain't one thing  
Instigators, like pouring fire on propane  
The wrong thing, they be worried about  
Ooh, you know females  
And how they like to run their mouths  
  
Wanna be, wanna be, just like, talk like, you  
(like you) you (like you)  
Misery, misery, best company  
Don't let them change your mood  
  
[Chorus:]  
They try to get at me (They try to get at me)  
Behind your back (your back, your back)  
Tryin' to tell me that I'm just like the others  
But I ain't all bad  
  
No, no, I ain't all bad  
All bad, all bad  
I ain't all bad  
All bad, all bad  
  
I might make you mad, so mad  
My bad, no, I ain't all bad  
  
[Verse 2:]  
Between us, they wanna comment  
Your worst enemy some time be your best friend  
Perfect, ain't saying that I am  
Proven, it's proven I don't give a damn  
  
Wanna be, wanna be everything I ought to be to you (to you)  
Envy, envy, same thing as jealousy  
Jealous of you  
That's what they do  
  
[Chorus:]  
They try to get at me (They try to get at me)  
Behind your back (your back, your back)  
Tryin' to tell me that I'm just like the others  
But I ain't all bad  
  
No, no, I ain't all bad  
All bad, all bad  
I ain't all bad  
All bad, all bad  
  
I might make you mad, so mad  
My bad, no, I ain't all bad

"
Justin Bieber,All I Want Is You,"Sitting here all alone watching the snow fall  
Looking back at the days when we threw them snowballs  
I can't believe I'm putting the tree up by myself  
I need you and nobody else  
I'm sorry if I pushed you away  
'Cause I need you here and I want for you to know  
  
And I don't care if I don't get anything  
All I need is you here right now  
And I'm sorry if I hurt you  
But I know that all I want is you this Christmas  
This Christmas  
This Christmas  
All I want is you this Christmas  
This Christmas  
This Christmas  
All I want is you this Christmas  
  
And I never wanna do this alone  
Baby I just need you to be here  
Here through the holidays, yeah  
I just wanna know if you feel the same way  
Because I'm lonely baby, want you to hold me baby  
  
And I'm sorry if I pushed you away  
I just want you to know I miss you  
And I want you to stay  
  
And I don't care if I don't get anything  
All I need is you here right now  
And I'm sorry if I hurt you  
But I know that all I want is you this Christmas  
This Christmas  
This Christmas  
All I want is you this Christmas  
This Christmas  
This Christmas  
All I want is you this Christmas  
  
Wrapping gifts without you baby  
Is like mid December and there's no cold  
I can't do this on my own (oh oh oh, oh oh oh)  
I've changed my ways  
We keep running back and forth again  
I'm here to stay  
  
And I don't care if I don't get anything  
All I need is you here right now  
And I'm sorry if I hurt you  
But I know that all I want is you this Christmas  
This Christmas  
This Christmas  
All I want is you this Christmas  
This Christmas  
This Christmas  
All I want is you this Christmas  
All I want is you this Christmas

"
Justin Bieber,As Long As You Love Me,"As long as you love me (love me, love me)  
As long as you love me (love me, love me)  
As long as you love me  
  
We're under pressure,  
Seven billion people in the world trying to fit in  
Keep it together,  
Smile on your face even though your heart is frowning  
But hey now, you know girl,  
We both know it's a cruel world  
But I will take my chances  
  
As long as you love me  
We could be starving, we could be homeless, we could be broke  
As long as you love me  
I'll be your platinum, I'll be your silver, I'll be your gold  
As long as you love, love me, love me  
As long as you love, love me, love me  
  
I'll be your soldier, fighting every second of the day for your dreams girl  
I'll be your Hova, you can be my Destiny's Child on a scene girl  
So don't stress, don't cry, we don't need no wings to fly  
Just take my hand  
  
As you love me we could be starving, we could be homeless, we could be broke  
As long as you love me  
I'll be your platinum, I'll be your silver, I'll be your gold  
As long as you love, love me, love me  
As long as you love, love me,  
  
I don't know if this makes sense, but you're my hallelujah  
Give me a time and place, and I'll rendezvous, and I'll fly you to it,  
I'll beat ya there  
Girl you know I got you  
Us, trust  
A couple of things I can't spell without you  
Now we are on top of the world, 'cause that's just how we do  
Used to tell me sky's the limit, now the sky's our point of view  
Man now we stepping out like whoa (oh God)  
Camera's point and shoot,  
Ask me what's my best side, I stand back and point at you, you  
You the one that I argue with, I feel like I need a new girl to be bothered,  
But the grass ain't always greener on the other side,  
It's green where you water it  
So I know we got issues baby true true true  
But I'd rather work on this with you  
Than to go ahead and start with someone new  
As long as you love me  
  
As you love me we could be starving, we could be homeless, we could be broke  
As long as you love me  
I'll be your platinum, I'll be your silver, I'll be your gold  
As long as you love, love me,  
As long as you love, love me  
  
As long as you love me  
I'll be your silver, I'll be your gold  
Love me,  
As long as you love, love me,  
Please don't go (love me, love me)  
Please don't go (love me, love me)  
As long as you love, (love me, love me)  
As long as you love, (love me, love me)  
As long as you love me

"
Justin Bieber,Baby Lady,"Put me in a outfit from the gap like that. One that  
Matches  
With the jacket and the cap like that.  
Then slap me in the stroller with the bounce like that.  
With the bottle full of milk that's 40 ounce like that.  
I'm your b-baby lady.  
Tina - I wanna push you in the buggy.  
I'm your b-baby lady,  
I wanna hold you like a Snuggie.  
You're my baby, lady.  
Tina - And I'm your lady, baby.  
It's time to roll,  
Let's go to the park.

"
Justin Bieber,Beauty And A Beat,"Young Money, Nicki Minaj, Justin  
  
Show you off, tonight I wanna show you off  
What you got, a billion could've never bought  
We gonna party like it's thirty twelve tonight  
I wanna show you all the finer things in life  
So just forget about the world, be young tonight  
I'm coming for ya, I'm coming for ya  
  
'Cause all I need is a beauty and a beat  
Who can make my life complete  
It's all by you, when the music makes you move  
Baby do it like you do  
'Cause  
  
Body rock, girl, I can feel your body rock  
Take a bow, you on the hottest ticket now  
We gonna party like it's thirty twelve tonight  
I wanna show you all the finer things in life  
So just forget about the world, be young tonight  
I'm coming for ya, I'm coming for ya  
  
'Cause all I need is a beauty and a beat  
Who can make my life complete  
It's all by you, when the music makes you move  
Baby do it like you do  
  
In time, ink lines, bitches couldn't get on my incline  
World tour, it's mine, ten little letters, in a big sign  
Justin Bieber, you know I'ma hit 'em with the ether  
Buns out, wiener, but I gotta keep my eye out for Selena  
Beauty, beauty and the beast  
Beauty from the east, beautiful confessions of the priest  
Beast, beauty from the streets, we don't get deceased  
Every time a beauty on the beats (Yeah, yeah, yeah, Let's go, Let's go)  
  
Body rock, girl, I wanna feel your body rock  
'Cause all I need is a beauty and a beat  
Who can make my life complete  
It's all by you, when the music makes you move  
Baby do it like you do  
'Cause

"
Justin Bieber,Been You,"[Verse 1]  
Feeling the reminisce  
Gone in an instance  
Blink of an eye  
No goodbye  
I had a notion  
Deep as the ocean  
Blue like the sky  
Oh my  
  
[Pre-Chorus]  
Like a permanent stain  
Wishing I could just wash away, away  
Hate our love was in vein  
But we're the blame  
For all the pain  
For all the pain  
  
[Chorus]  
If I would have known  
If I would have known  
If I would have known  
It could have been you  
(Woah, woah, woah)  
If I had the chance  
If I had the chance  
I'd make us brand new  
I never wanted to be  
Wanted to be  
Your enemy, no, no  
But if I  
If I would have known  
If I would have known  
It could have been you  
Been you  
  
[Verse 2]  
There repercussion  
Of missing your loving  
Haunts me at night  
The ghosts are alive  
All of the memories  
Of serenity  
Dwindle in my mind  
All the time  
  
[Pre-Chorus]  
Like a permanent stain  
Wishing I could just wash away, away  
Hate our love was in vein  
Who was to blame  
For all the pain  
For all the pain  
  
[Chorus]  
If I would have known  
If I would have known  
If I would have known  
It could have been you  
If I had a chance  
If I had a chance  
I'd make us brand new  
I never wanted to be  
Wanted to be  
Your enemy, no, no  
But if I  
If I would have known  
If I would have known  
It could have been you  
Been you  
  
[Break]  
  
[Chorus]  
If I would have known  
If I would have known  
If I would have known  
It could have been you  
If I had a chance  
If I had a chance  
I'd make us brand new  
I never wanted to be  
Wanted to be  
Your enemy, no, no  
But if I  
If I would have known  
If I would have known  
It could have been you  
Been you

"
Justin Bieber,Born To Be Somebody,"There's a dream in my soul  
A fire that's deep inside me  
There's a me no one knows  
Waiting to be set free  
I gonna see that day  
I can feel it  
I can taste it  
Change is coming my way  
  
I was born to be somebody  
Ain't nothing that's ever gonna stop me  
I light up the sky like lighting  
I gonna rise above  
Show 'em what I'm made of  
I was born to be somebody  
I was born to be  
And this world will belong to me  
  
This life can kick you around (whoa)  
This world can make you feel small (whoa)  
They will not keep me down (whoa)  
I was born to stand tall  
I can feel it  
I believe it  
I'm here  
I'm here to stay  
  
I was born to be somebody  
Ain't nothin' that's ever gonna stop me  
I light up the sky like lightening  
I gonna rise above  
Show em what I'm made of  
I was born to be somebody  
I was born to be  
And this world will belong to me  
  
Feel it  
Believe it  
Dream it  
Be it  
I was born to be somebody  
Ain't nothing that's ever gonna stop me  
Ill light up the sky like lighting  
I'm gonna rise above  
Show em what I'm made of  
I was born to be somebody  
I was born to be  
And this world will belong to me  
Whoa oh  
Whoa oh  
And this world will belong to me  
Ye-ah ye-ah  
Oh  
And this world will belong to me

"
Justin Bieber,Christmas Love,"Baby I will not pout  
Baby I will not cry  
Cause I got your love this Christmas time  
When the snow's on the ground  
And it's freezing outside  
I got your love this Christmas  
  
On every list I've ever sent  
You're the gift I'd love the best  
So deck the halls and all the rest  
Warm me up  
With your Christmas love  
  
Hey angel in the snow  
I'm under the mistletoe  
You are the one  
You're my very own Christmas love  
Tell Santa I'm cool this year  
My present is standing right here  
Thank God above for my very own Christmas love, yeah  
  
Like a beautiful tree, you can light up the room  
Your kinda star, can't be removed  
Like a beautiful carol, I get lost in your song  
And I will forever sing along  
  
On every list I've ever sent  
You're the gift I'd love the best  
So deck the halls and all the rest  
You warm me up  
With your Christmas love  
  
Hey angel in the snow  
I'm under the mistletoe  
You are the one  
You're my very own Christmas love  
Tell Santa I'm cool this year  
My present is standing right here  
Thank God above for my very own Christmas love  
  
All the lovers around the world (all the lovers)  
Let me sing you Merry Merry Christmas  
Merry Merry Christmas (and happy holidays)  
And every boy and every girl  
Stay close to the ones you love and thank God above  
That you got someone this year  
That can fill your heart with cheer  
  
Hey angel in the snow  
I'm under the mistletoe  
You are the one  
You're my very own Christmas love  
Tell Santa I'm cool this year  
My present is standing right here  
Thank God above for my very own Christmas love  
  
Hey angel in the snow  
I'm under the mistletoe  
You are the one  
You're my very own Christmas love  
Tell Santa I'm cool this year  
My present is standing right here  
Thank God above for my very own Christmas love  
For my very own Christmas love  
For my very own Christmas love  
(Give me a kiss baby)  
(Give me a kiss baby)  
For my very own Christmas love

"
Justin Bieber,Cry Me A Heartless Swag On The River One Time,"How could you be so heartless? Oh  
How could you be so heartless?  
  
You were my sun  
You were my earth  
But you didn't know all the ways I loved you, no  
So you took a chance  
And made other plans  
I bet you didn't think that they would come crashing down, no  
  
You know why?  
Cause in the night, I hear them talk  
The coldest story ever told  
Somewhere far along this road he lost his soul  
To a woman so heartless  
How could you be so heartless? Oh  
How could you be so heartless?  
  
That's why I said,  
Hopped up out the bed  
Turn my swag on  
Take a look in mirror said ""what's up?""  
Yeah, I'm gettin money, Ohh, Ohhh  
  
I want the money, money and the cars  
Cars and the clothes, the shows, I suppose  
I just wanna be, I just wanna be successful  
I just wanna be, I just wanna be successful, yeah, said  
I just wanna be, I just wanna be successful

"
Justin Bieber,Down To Earth,"Oh, oh, oh  
  
I never thought that it'd be easy  
'Cause we both so distant now  
And the walls are closing in on us  
And we're wondering how  
No one has a solid answer  
Just walking in the dark  
And you can see the look on my face  
It just tears me apart  
  
So we fight (so we fight) through the hurt (through the hurt)  
And we cry, and cry, and cry, and cry  
And we live (and we live) and we learn (and we learn)  
And we try, and try, and try, and try  
  
[Chorus]  
So it's up to you and it's up to me  
That we meet in the middle  
On our way back down to earth  
Down to earth, down to earth  
On our way back down to earth  
(Back down to earth, back down to earth)  
(Back down to earth, back down to earth)  
(Back down to earth, back down to earth)  
(Back down to earth, back down to earth)  
  
Mommy you were always somewhere  
And Daddy I live outta town  
So tell me how could I ever be normal some how  
You tell me this is for the best  
So tell me why am I in tears, woah  
So far away and now I just need you here  
  
So we fight (so we fight) through the hurt (through the hurt)  
And we cry, and cry, and cry, and cry  
And we live (and we live) and we learn (and we learn)  
And we try, and try, and try, and try  
  
[Chorus]  
  
We fell so far away from where we used to be  
Now we're standing, and where do we go  
When there's no road, to get to your heart  
Let's start over again  
  
[Chorus]  
  
I never thought that it'd be easy  
'Cause we both so distant now  
And the walls are closing in on us  
And we're wondering how.

"
